State,Average
 AK,73324.30
 AL,71136.96
 AR,68233.05
 AZ,76613.18
 CA,93156.61
 CO,88465.34
 CT,97654.63
 DC,98121.12
 DE,82987.56
 FL,73925.00
 GA,73916.32
 HI,73701.28
 IA,71662.37
 ID,74198.73
 IL,83051.59
 IN,64515.87
 KS,68217.81
 KY,74884.12
 LA,67796.98
 MA,95875.05
 MD,91222.13
 ME,69326.25
 MI,74945.16
 MN,83714.56
 MO,76183.12
 MS,60600.53
 MT,72506.58
 NC,77584.89
 ND,64160.34
 NE,67247.40
 NH,92510.96
 NJ,102116.36
 NM,73629.43
 NV,71388.80
 NY,87532.37
 OH,74218.89
 OK,69718.63
 OR,83167.85
 PA,78800.86
 PR,37299.13
 RI,78936.94
 SC,77377.33
 SD,65064.50
 TN,71278.89
 TX,75505.77
 UT,84613.85
 VA,89404.37
 VT,81803.28
 WA,93878.67
 WI,76157.03
 WV,67575.59
 WY,85778.64
