Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,463,148,429,139,443,130,416,124,407,103
Adams,Black,463,309,429,286,443,306,416,288,407,299
Adams,Other,463,NA,429,NA,443,6,416,NA,407,NA
Adams,Unknown,463,NA,429,NA,443,NA,416,NA,407,NA
Alcorn,White,448,364,440,366,437,375,435,358,439,356
Alcorn,Black,448,77,440,65,437,56,435,68,439,78
Alcorn,Other,448,6,440,9,437,6,435,9,439,NA
Alcorn,Unknown,448,NA,440,NA,437,NA,435,NA,439,NA
Amite,White,141,73,148,80,145,77,136,72,140,77
Amite,Black,141,66,148,65,145,66,136,64,140,62
Amite,Other,141,NA,148,NA,145,NA,136,NA,140,NA
Amite,Unknown,141,NA,148,NA,145,NA,136,NA,140,NA
Attala,White,281,123,261,119,249,110,273,111,242,108
Attala,Black,281,157,261,139,249,139,273,159,242,129
Attala,Other,281,NA,261,NA,249,NA,273,NA,242,NA
Attala,Unknown,281,NA,261,NA,249,NA,273,NA,242,NA
Benton,White,116,70,113,73,94,57,103,68,91,61
Benton,Black,116,46,113,36,94,36,103,35,91,29
Benton,Other,116,NA,113,NA,94,NA,103,NA,91,NA
Benton,Unknown,116,NA,113,NA,94,NA,103,NA,91,NA
Bolivar,White,510,140,530,155,471,125,525,132,447,112
Bolivar,Black,510,367,530,367,471,340,525,384,447,329
Bolivar,Other,510,NA,530,7,471,NA,525,9,447,6
Bolivar,Unknown,510,NA,530,NA,471,NA,525,NA,447,NA
Calhoun,White,164,120,178,97,196,128,183,122,173,120
Calhoun,Black,164,44,178,81,196,67,183,58,173,53
Calhoun,Other,164,NA,178,NA,196,NA,183,NA,173,NA
Calhoun,Unknown,164,NA,178,NA,196,NA,183,NA,173,NA
Carroll,White,88,45,102,59,89,55,107,57,86,48
Carroll,Black,88,42,102,42,89,34,107,49,86,37
Carroll,Other,88,NA,102,NA,89,NA,107,NA,86,NA
Carroll,Unknown,88,NA,102,NA,89,NA,107,NA,86,NA
Chickasaw,White,265,120,263,123,259,126,277,136,248,124
Chickasaw,Black,265,144,263,137,259,132,277,139,248,121
Chickasaw,Other,265,NA,263,NA,259,NA,277,NA,248,NA
Chickasaw,Unknown,265,NA,263,NA,259,NA,277,NA,248,NA
Choctaw,White,91,55,96,70,82,50,105,67,84,49
Choctaw,Black,91,35,96,26,82,31,105,36,84,33
Choctaw,Other,91,NA,96,NA,82,NA,105,NA,84,NA
