Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amite,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amite,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amite,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amite,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attala,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attala,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attala,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attala,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivar,White,9,NA,6,NA,7,NA,NA,NA,NA,NA
Bolivar,Black,9,7,6,NA,7,7,NA,NA,NA,NA
Bolivar,Other,9,NA,6,NA,7,NA,NA,NA,NA,NA
Bolivar,Unknown,9,NA,6,NA,7,NA,NA,NA,NA,NA
Calhoun,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calhoun,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
