Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,81,18,70,14,81,14,90,19,90,NA
Adams,Black,81,61,70,55,81,66,90,70,90,84
Adams,Other,81,NA,70,NA,81,NA,90,NA,90,NA
Adams,Unknown,81,NA,70,NA,81,NA,90,NA,90,NA
Alcorn,White,18,9,17,9,14,10,22,16,22,15
Alcorn,Black,18,8,17,8,14,NA,22,6,22,7
Alcorn,Other,18,NA,17,NA,14,NA,22,NA,22,NA
Alcorn,Unknown,18,NA,17,NA,14,NA,22,NA,22,NA
Amite,White,10,NA,13,NA,12,6,7,NA,16,NA
Amite,Black,10,7,13,8,12,6,7,6,16,15
Amite,Other,10,NA,13,NA,12,NA,7,NA,16,NA
Amite,Unknown,10,NA,13,NA,12,NA,7,NA,16,NA
Attala,White,33,NA,21,NA,19,NA,34,NA,19,NA
Attala,Black,33,28,21,16,19,17,34,31,19,15
Attala,Other,33,NA,21,NA,19,NA,34,NA,19,NA
Attala,Unknown,33,NA,21,NA,19,NA,34,NA,19,NA
Benton,White,10,NA,NA,NA,10,NA,9,6,11,6
Benton,Black,10,8,NA,NA,10,7,9,NA,11,NA
Benton,Other,10,NA,NA,NA,10,NA,9,NA,11,NA
Benton,Unknown,10,NA,NA,NA,10,NA,9,NA,11,NA
Bolivar,White,64,8,73,16,57,10,73,15,59,8
Bolivar,Black,64,55,73,54,57,44,73,57,59,50
Bolivar,Other,64,NA,73,NA,57,NA,73,NA,59,NA
Bolivar,Unknown,64,NA,73,NA,57,NA,73,NA,59,NA
Calhoun,White,8,NA,18,7,18,NA,8,NA,16,8
Calhoun,Black,8,7,18,11,18,15,8,6,16,8
Calhoun,Other,8,NA,18,NA,18,NA,8,NA,16,NA
Calhoun,Unknown,8,NA,18,NA,18,NA,8,NA,16,NA
Carroll,White,12,NA,6,NA,7,NA,7,NA,11,NA
Carroll,Black,12,10,6,6,7,7,7,6,11,9
Carroll,Other,12,NA,6,NA,7,NA,7,NA,11,NA
Carroll,Unknown,12,NA,6,NA,7,NA,7,NA,11,NA
Chickasaw,White,27,NA,19,NA,18,NA,32,8,22,NA
Chickasaw,Black,27,24,19,16,18,14,32,24,22,17
Chickasaw,Other,27,NA,19,NA,18,NA,32,NA,22,NA
Chickasaw,Unknown,27,NA,19,NA,18,NA,32,NA,22,NA
Choctaw,White,NA,NA,NA,NA,10,NA,14,9,7,NA
Choctaw,Black,NA,NA,NA,NA,10,7,14,NA,7,NA
Choctaw,Other,NA,NA,NA,NA,10,NA,14,NA,7,NA
Choctaw,Unknown,NA,NA,NA,NA,10,NA,14,NA,7,NA
Claiborne,White,23,NA,27,NA,25,NA,34,NA,40,NA
Claiborne,Black,23,23,27,26,25,23,34,33,40,40
Claiborne,Other,23,NA,27,NA,25,NA,34,NA,40,NA
Claiborne,Unknown,23,NA,27,NA,25,NA,34,NA,40,NA
Clarke,White,19,6,19,NA,15,NA,19,NA,18,6
Clarke,Black,19,13,19,14,15,15,19,13,18,12
Clarke,Other,19,NA,19,NA,15,NA,19,NA,18,NA
Clarke,Unknown,19,NA,19,NA,15,NA,19,NA,18,NA
Clay,White,47,NA,46,NA,39,NA,48,7,47,NA
Clay,Black,47,41,46,42,39,34,48,41,47,43
Clay,Other,47,NA,46,NA,39,NA,48,NA,47,NA
Clay,Unknown,47,NA,46,NA,39,NA,48,NA,47,NA
Coahoma,White,39,NA,42,NA,60,NA,39,NA,45,NA
Coahoma,Black,39,38,42,40,60,55,39,36,45,43
Coahoma,Other,39,NA,42,NA,60,NA,39,NA,45,NA
Coahoma,Unknown,39,NA,42,NA,60,NA,39,NA,45,NA
Copiah,White,49,NA,57,8,52,6,49,8,68,9
Copiah,Black,49,42,57,47,52,46,49,41,68,58
Copiah,Other,49,NA,57,NA,52,NA,49,NA,68,NA
Copiah,Unknown,49,NA,57,NA,52,NA,49,NA,68,NA
Covington,White,14,NA,19,6,16,NA,25,NA,22,NA
Covington,Black,14,10,19,13,16,14,25,20,22,18
Covington,Other,14,NA,19,NA,16,NA,25,NA,22,NA
