Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,378,130,358,125,360,115,326,105,312,97
Adams,Black,378,244,358,230,360,239,326,218,312,211
Adams,Other,378,NA,358,NA,360,6,326,NA,312,NA
Adams,Unknown,378,NA,358,NA,360,NA,326,NA,312,NA
Alcorn,White,429,354,423,357,422,364,413,342,414,340
Alcorn,Black,429,69,423,57,422,53,413,62,414,69
Alcorn,Other,429,6,423,9,422,NA,413,9,414,NA
Alcorn,Unknown,429,NA,423,NA,422,NA,413,NA,414,NA
Amite,White,126,70,133,77,131,71,128,70,123,76
Amite,Black,126,54,133,55,131,58,128,58,123,46
Amite,Other,126,NA,133,NA,131,NA,128,NA,123,NA
Amite,Unknown,126,NA,133,NA,131,NA,128,NA,123,NA
Attala,White,247,119,236,114,229,107,237,106,219,103
Attala,Black,247,128,236,121,229,122,237,128,219,112
Attala,Other,247,NA,236,NA,229,NA,237,NA,219,NA
Attala,Unknown,247,NA,236,NA,229,NA,237,NA,219,NA
Benton,White,105,68,109,71,84,54,94,62,80,55
Benton,Black,105,37,109,34,84,29,94,32,80,24
Benton,Other,105,NA,109,NA,84,NA,94,NA,80,NA
Benton,Unknown,105,NA,109,NA,84,NA,94,NA,80,NA
Bolivar,White,437,130,451,137,407,115,447,116,384,103
Bolivar,Black,437,305,451,309,407,289,447,323,384,276
Bolivar,Other,437,NA,451,NA,407,NA,447,8,384,NA
Bolivar,Unknown,437,NA,451,NA,407,NA,447,NA,384,NA
Calhoun,White,155,118,159,89,177,126,172,120,157,112
Calhoun,Black,155,37,159,70,177,51,172,49,157,45
Calhoun,Other,155,NA,159,NA,177,NA,172,NA,157,NA
Calhoun,Unknown,155,NA,159,NA,177,NA,172,NA,157,NA
Carroll,White,75,42,95,58,81,54,97,54,74,45
Carroll,Black,75,32,95,36,81,27,97,42,74,28
Carroll,Other,75,NA,95,NA,81,NA,97,NA,74,NA
Carroll,Unknown,75,NA,95,NA,81,NA,97,NA,74,NA
Chickasaw,White,233,114,239,120,237,121,242,128,224,119
Chickasaw,Black,233,118,239,116,237,115,242,112,224,103
Chickasaw,Other,233,NA,239,NA,237,NA,242,NA,224,NA
Chickasaw,Unknown,233,NA,239,NA,237,NA,242,NA,224,NA
Choctaw,White,87,54,92,68,71,46,88,58,74,43
Choctaw,Black,87,32,92,24,71,24,88,29,74,30
Choctaw,Other,87,NA,92,NA,71,NA,88,NA,74,NA
Choctaw,Unknown,87,NA,92,NA,71,NA,88,NA,74,NA
Claiborne,White,123,8,111,9,126,6,114,7,119,9
Claiborne,Black,123,114,111,102,126,120,114,107,119,110
Claiborne,Other,123,NA,111,NA,126,NA,114,NA,119,NA
Claiborne,Unknown,123,NA,111,NA,126,NA,114,NA,119,NA
Clarke,White,191,123,201,127,213,120,174,106,214,138
Clarke,Black,191,64,201,71,213,87,174,64,214,75
Clarke,Other,191,NA,201,NA,213,6,174,NA,214,NA
Clarke,Unknown,191,NA,201,NA,213,NA,174,NA,214,NA
Clay,White,229,75,220,69,224,65,259,95,256,70
Clay,Black,229,152,220,150,224,158,259,158,256,184
Clay,Other,229,NA,220,NA,224,NA,259,6,256,NA
Clay,Unknown,229,NA,220,NA,224,NA,259,NA,256,NA
Coahoma,White,349,41,393,55,358,47,340,59,320,47
Coahoma,Black,349,306,393,338,358,308,340,281,320,273
