Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,56,11,52,14,54,7,38,NA,36,NA
Adams,Black,56,43,52,38,54,46,38,31,36,33
Adams,Other,56,NA,52,NA,54,NA,38,NA,36,NA
Adams,Unknown,56,NA,52,NA,54,NA,38,NA,36,NA
Alcorn,White,48,34,57,44,47,38,51,41,39,24
Alcorn,Black,48,14,57,12,47,8,51,10,39,15
Alcorn,Other,48,NA,57,NA,47,NA,51,NA,39,NA
Alcorn,Unknown,48,NA,57,NA,47,NA,51,NA,39,NA
Amite,White,19,9,12,NA,16,7,14,NA,13,NA
Amite,Black,19,9,12,9,16,9,14,11,13,8
Amite,Other,19,NA,12,NA,16,NA,14,NA,13,NA
Amite,Unknown,19,NA,12,NA,16,NA,14,NA,13,NA
Attala,White,40,11,27,7,30,8,31,8,35,9
Attala,Black,40,29,27,20,30,22,31,23,35,26
Attala,Other,40,NA,27,NA,30,NA,31,NA,35,NA
Attala,Unknown,40,NA,27,NA,30,NA,31,NA,35,NA
Benton,White,12,NA,9,6,9,NA,NA,NA,9,NA
Benton,Black,12,8,9,NA,9,NA,NA,NA,9,NA
Benton,Other,12,NA,9,NA,9,NA,NA,NA,9,NA
Benton,Unknown,12,NA,9,NA,9,NA,NA,NA,9,NA
Bolivar,White,65,15,59,17,59,8,81,9,46,NA
Bolivar,Black,65,50,59,42,59,51,81,71,46,42
Bolivar,Other,65,NA,59,NA,59,NA,81,NA,46,NA
Bolivar,Unknown,65,NA,59,NA,59,NA,81,NA,46,NA
Calhoun,White,14,8,20,NA,26,13,24,12,21,14
Calhoun,Black,14,6,20,16,26,13,24,12,21,7
Calhoun,Other,14,NA,20,NA,26,NA,24,NA,21,NA
Calhoun,Unknown,14,NA,20,NA,26,NA,24,NA,21,NA
Carroll,White,7,NA,12,6,13,NA,13,7,8,NA
Carroll,Black,7,NA,12,6,13,8,13,6,8,NA
Carroll,Other,7,NA,12,NA,13,NA,13,NA,8,NA
Carroll,Unknown,7,NA,12,NA,13,NA,13,NA,8,NA
Chickasaw,White,37,13,29,12,30,12,32,16,37,15
Chickasaw,Black,37,24,29,17,30,18,32,16,37,22
Chickasaw,Other,37,NA,29,NA,30,NA,32,NA,37,NA
Chickasaw,Unknown,37,NA,29,NA,30,NA,32,NA,37,NA
Choctaw,White,10,NA,7,NA,9,NA,8,NA,13,NA
Choctaw,Black,10,NA,7,NA,9,7,8,7,13,8
Choctaw,Other,10,NA,7,NA,9,NA,8,NA,13,NA
Choctaw,Unknown,10,NA,7,NA,9,NA,8,NA,13,NA
Claiborne,White,12,NA,20,NA,25,NA,14,NA,24,NA
Claiborne,Black,12,12,20,18,25,25,14,14,24,22
Claiborne,Other,12,NA,20,NA,25,NA,14,NA,24,NA
Claiborne,Unknown,12,NA,20,NA,25,NA,14,NA,24,NA
Clarke,White,23,12,25,11,31,11,27,14,21,9
Clarke,Black,23,11,25,14,31,19,27,12,21,11
Clarke,Other,23,NA,25,NA,31,NA,27,NA,21,NA
Clarke,Unknown,23,NA,25,NA,31,NA,27,NA,21,NA
Clay,White,25,NA,27,NA,32,NA,49,10,47,NA
Clay,Black,25,21,27,25,32,28,49,37,47,42
Clay,Other,25,NA,27,NA,32,NA,49,NA,47,NA
Clay,Unknown,25,NA,27,NA,32,NA,49,NA,47,NA
Coahoma,White,51,NA,72,7,60,NA,71,NA,60,6
Coahoma,Black,51,49,72,65,60,57,71,66,60,54
Coahoma,Other,51,NA,72,NA,60,NA,71,NA,60,NA
Coahoma,Unknown,51,NA,72,NA,60,NA,71,NA,60,NA
Copiah,White,61,23,49,7,54,7,52,13,45,13
