Geography  ,Race,Total 2016,Amount 2016,Total 2017,Amount 2017,Total 2018,Amount 2018,Total 2019,Amount 2019,Total 2020,Amount 2020
Adams,White,18,NA,13,NA,15,NA,NA,NA,6,NA
Adams,Black,18,14,13,11,15,14,NA,NA,6,NA
Adams,Other,18,NA,13,NA,15,NA,NA,NA,6,NA
Adams,Unknown,18,NA,13,NA,15,NA,NA,NA,6,NA
Alcorn,White,NA,NA,9,7,13,11,14,13,NA,NA
Alcorn,Black,NA,NA,9,NA,13,NA,14,NA,NA,NA
Alcorn,Other,NA,NA,9,NA,13,NA,14,NA,NA,NA
Alcorn,Unknown,NA,NA,9,NA,13,NA,14,NA,NA,NA
Amite,White,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
Amite,Black,NA,NA,NA,NA,NA,NA,7,6,NA,NA
Amite,Other,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
Amite,Unknown,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
Attala,White,NA,NA,10,NA,NA,NA,7,NA,7,NA
Attala,Black,NA,NA,10,7,NA,NA,7,6,7,NA
Attala,Other,NA,NA,10,NA,NA,NA,7,NA,7,NA
Attala,Unknown,NA,NA,10,NA,NA,NA,7,NA,7,NA
Benton,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benton,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivar,White,14,NA,13,NA,15,NA,19,NA,NA,NA
Bolivar,Black,14,14,13,12,15,15,19,17,NA,NA
Bolivar,Other,14,NA,13,NA,15,NA,19,NA,NA,NA
Bolivar,Unknown,14,NA,13,NA,15,NA,19,NA,NA,NA
Calhoun,White,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Calhoun,Black,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Calhoun,Other,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Calhoun,Unknown,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Carroll,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chickasaw,White,7,NA,7,NA,6,NA,11,NA,6,NA
Chickasaw,Black,7,NA,7,NA,6,NA,11,7,6,NA
Chickasaw,Other,7,NA,7,NA,6,NA,11,NA,6,NA
Chickasaw,Unknown,7,NA,7,NA,6,NA,11,NA,6,NA
Choctaw,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choctaw,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choctaw,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choctaw,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claiborne,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claiborne,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claiborne,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claiborne,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarke,White,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Clarke,Black,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Clarke,Other,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Clarke,Unknown,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
Clay,White,9,NA,6,NA,10,NA,NA,NA,13,NA
Clay,Black,9,8,6,6,10,9,NA,NA,13,13
Clay,Other,9,NA,6,NA,10,NA,NA,NA,13,NA
Clay,Unknown,9,NA,6,NA,10,NA,NA,NA,13,NA
Coahoma,White,9,NA,12,NA,10,NA,6,NA,12,NA
Coahoma,Black,9,9,12,11,10,10,6,NA,12,10
Coahoma,Other,9,NA,12,NA,10,NA,6,NA,12,NA
Coahoma,Unknown,9,NA,12,NA,10,NA,6,NA,12,NA
Copiah,White,7,NA,9,NA,7,NA,7,NA,8,NA
Copiah,Black,7,6,9,8,7,7,7,NA,8,NA
Copiah,Other,7,NA,9,NA,7,NA,7,NA,8,NA
Copiah,Unknown,7,NA,9,NA,7,NA,7,NA,8,NA
Covington,White,9,NA,NA,NA,NA,NA,NA,NA,12,NA
Covington,Black,9,7,NA,NA,NA,NA,NA,NA,12,10
Covington,Other,9,NA,NA,NA,NA,NA,NA,NA,12,NA
Covington,Unknown,9,NA,NA,NA,NA,NA,NA,NA,12,NA
DeSoto,White,33,12,27,11,36,12,48,25,50,18
DeSoto,Black,33,21,27,16,36,21,48,22,50,31
DeSoto,Other,33,NA,27,NA,36,NA,48,NA,50,NA
