title,url,platform,metacritic,user,genre
Elden Ring,https://www.metacritic.com/game/xbox-series-x/elden-ring,Xbox Series X,96,7.7,"Role-Playing, Action RPG"
Elden Ring,https://www.metacritic.com/game/playstation-5/elden-ring,PlayStation 5,96,7.9,"Role-Playing, Action RPG"
Portal Companion Collection,https://www.metacritic.com/game/switch/portal-companion-collection,Switch,96,8.4,"Miscellaneous, Compilation"
Elden Ring,https://www.metacritic.com/game/pc/elden-ring,PC,94,6.9,"Role-Playing, Action RPG"
The Stanley Parable: Ultra Deluxe,https://www.metacritic.com/game/xbox-series-x/the-stanley-parable-ultra-deluxe,Xbox Series X,93,8.4,"Adventure, 3D, First-Person"
God of War,https://www.metacritic.com/game/pc/god-of-war,PC,93,8.5,"Action Adventure, Linear"
Cuphead in the Delicious Last Course,https://www.metacritic.com/game/xbox-one/cuphead-in-the-delicious-last-course,Xbox One,92,8.2,"Action, Platformer, 2D"
Rogue Legacy 2,https://www.metacritic.com/game/xbox-series-x/rogue-legacy-2,Xbox Series X,90,8.3,"Action, Role-Playing, Platformer, Roguelike, 2D"
The Stanley Parable: Ultra Deluxe,https://www.metacritic.com/game/pc/the-stanley-parable-ultra-deluxe,PC,90,8.1,"Adventure, 3D, First-Person"
Neon White,https://www.metacritic.com/game/pc/neon-white,PC,90,8.8,"Action, Shooter, First-Person, Arcade"
Xenoblade Chronicles 3,https://www.metacritic.com/game/switch/xenoblade-chronicles-3,Switch,89,8.6,"Role-Playing, Action RPG"
Cuphead in the Delicious Last Course,https://www.metacritic.com/game/pc/cuphead-in-the-delicious-last-course,PC,89,8.4,"Action, Platformer, 2D"
The Last of Us Part I,https://www.metacritic.com/game/playstation-5/the-last-of-us-part-i,PlayStation 5,89,6,"Action Adventure, General"
The Stanley Parable: Ultra Deluxe,https://www.metacritic.com/game/playstation-5/the-stanley-parable-ultra-deluxe,PlayStation 5,89,8,"Adventure, 3D, First-Person"
I Was a Teenage Exocolonist,https://www.metacritic.com/game/pc/i-was-a-teenage-exocolonist,PC,89,8.1,"Strategy, Turn-Based, Card Battle"
NORCO,https://www.metacritic.com/game/pc/norco,PC,88,7.1,"Adventure, Point-and-Click"
Neon White,https://www.metacritic.com/game/switch/neon-white,Switch,88,8.1,"Action, Shooter, First-Person, Arcade"
13 Sentinels: Aegis Rim,https://www.metacritic.com/game/switch/13-sentinels-aegis-rim,Switch,88,8.5,"Adventure, General"
Deathloop,https://www.metacritic.com/game/xbox-series-x/deathloop,Xbox Series X,88,6.8,"Action, Shooter, First-Person, Arcade"
Immortality,https://www.metacritic.com/game/pc/immortality,PC,88,6.3,"Adventure, General"
Immortality,https://www.metacritic.com/game/xbox-series-x/immortality,Xbox Series X,88,7,"Adventure, General"
AI: The Somnium Files - nirvanA Initiative,https://www.metacritic.com/game/pc/ai-the-somnium-files---nirvana-initiative,PC,88,8.5,"Action Adventure, General"
The Legend of Heroes: Trails from Zero,https://www.metacritic.com/game/pc/the-legend-of-heroes-trails-from-zero,PC,88,8.6,"Role-Playing, Japanese-Style"
Rogue Legacy 2,https://www.metacritic.com/game/pc/rogue-legacy-2,PC,88,7.7,"Action, Role-Playing, Platformer, Roguelike, 2D"
Horizon Forbidden West,https://www.metacritic.com/game/playstation-5/horizon-forbidden-west,PlayStation 5,88,8,"Role-Playing, Action RPG, Action Adventure, Open-World"
Final Fantasy VI Pixel Remaster,https://www.metacritic.com/game/pc/final-fantasy-vi-pixel-remaster,PC,88,7.8,"Role-Playing, Japanese-Style"
OlliOlli World,https://www.metacritic.com/game/pc/olliolli-world,PC,87,6.8,"Action, Platformer, 2D"
Gran Turismo 7,https://www.metacritic.com/game/playstation-5/gran-turismo-7,PlayStation 5,87,2.1,"Racing, Simulation, Automobile"
Uncharted: Legacy of Thieves Collection,https://www.metacritic.com/game/playstation-5/uncharted-legacy-of-thieves-collection,PlayStation 5,87,8.8,"Miscellaneous, Compilation"
