Date,Age,Organ,All DSA States,State unassigned,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Puerto Rico
To Date,All Ages,All Donors,424027,1,7559,8155,2608,45629,6847,3420,197,6536,23330,11566,1282,18324,6907,3300,6454,4471,6704,694,8381,13782,14821,14413,2039,8219,2809,2398,449,8972,1887,27209,11418,568,18633,4472,5259,28175,582,4770,370,11420,32627,5075,217,8578,8729,409,10630,2732
0,All Ages,Kidney,395292,0,7230,7785,2497,42563,6342,3233,127,6154,21564,10544,1245,16739,6601,3196,5988,4265,6162,694,7813,12732,14064,13519,1900,7476,2560,2216,449,8662,1808,24213,10694,568,17623,4257,5148,25589,582,4518,370,10720,30332,4841,217,8040,8478,409,10155,2410
0,All Ages,Liver,206137,1,3313,3763,1502,21712,3306,1170,70,2967,13782,6157,657,8097,3901,1574,4583,2683,4093,0,3195,6161,6177,4898,1506,3978,1440,1722,0,3590,1042,11303,5733,0,8341,2498,2518,16209,0,3195,0,6412,16439,2112,0,3582,4140,23,4840,1752
0,All Ages,Heart,85360,0,1275,1555,713,9745,1504,546,0,1062,5320,2650,67,3019,1904,693,2026,1167,1675,0,1104,2547,2595,1987,623,1470,533,710,0,1516,482,3806,2779,0,3403,1110,1129,5630,0,1407,0,3037,7806,1022,0,1481,1868,20,1984,390
0,All Ages,Pancreas,49057,0,627,746,338,4585,887,203,0,905,2953,1043,127,2622,1100,511,1358,686,1071,0,901,1312,1318,2127,328,732,459,260,0,915,170,1928,1684,0,2505,387,595,3725,0,758,0,1620,2890,555,0,570,1086,6,2191,273
0,All Ages,Lung,44844,0,642,865,314,5313,631,185,0,683,2832,1308,27,1877,1034,342,1107,569,925,0,808,1124,1657,1067,289,1229,264,368,0,610,156,1274,1561,0,1921,509,439,3247,0,780,0,1377,4144,371,0,778,915,2,1041,259
0,All Ages,Intestine,3609,0,42,46,53,163,47,22,0,47,435,113,1,165,209,38,111,49,87,0,38,67,146,143,43,75,40,24,0,34,12,146,138,0,148,26,16,243,0,47,0,181,224,19,0,56,42,0,41,32
0,< 1 Year,All Donors,3633,0,72,54,42,369,59,14,0,41,246,118,9,165,59,30,91,50,64,0,35,61,108,90,24,81,28,39,0,55,19,157,131,0,115,41,40,220,0,31,0,159,385,71,0,71,97,0,83,9
0,< 1 Year,Kidney,2080,0,39,42,22,231,26,10,0,28,114,55,5,98,34,20,59,29,26,0,25,37,59,43,16,36,9,34,0,38,9,85,66,0,60,29,23,140,0,20,0,87,224,55,0,44,60,0,36,7
0,< 1 Year,Liver,2433,0,41,31,28,232,34,10,0,33,185,80,5,103,42,23,54,47,54,0,28,45,71,57,18,50,21,22,0,35,15,103,101,0,80,25,24,138,0,26,0,110,261,33,0,48,59,0,54,7
0,< 1 Year,Heart,2488,0,48,32,34,260,45,6,0,23,165,98,3,102,44,22,55,43,45,0,20,40,78,66,15,53,19,28,0,33,12,108,94,0,81,25,27,140,0,24,0,118,260,39,0,55,62,0,60,6
0,< 1 Year,Pancreas,436,0,10,3,12,19,6,0,0,6,59,18,1,10,10,6,12,11,16,0,8,12,14,9,5,13,4,1,0,4,1,18,15,0,14,2,2,21,0,11,0,20,31,3,0,8,11,0,10,0
0,< 1 Year,Lung,169,0,1,5,0,13,0,1,0,2,13,5,0,10,4,0,4,1,4,0,3,4,4,5,3,4,2,1,0,4,1,8,7,0,8,1,2,14,0,1,0,7,17,1,0,7,0,0,2,0
0,< 1 Year,Intestine,696,0,12,5,13,34,11,2,0,7,72,31,1,22,13,10,21,17,20,0,9,17,27,14,7,22,8,3,0,9,0,34,35,0,21,6,5,32,0,15,0,34,62,5,0,12,16,0,12,0
0,1-5 Years,All Donors,7075,0,112,153,55,711,92,26,0,83,574,225,19,276,141,74,196,96,150,0,56,119,217,164,64,129,52,47,0,121,34,301,206,0,248,113,125,434,0,93,0,249,787,101,0,111,155,1,126,39
0,1-5 Years,Kidney,6557,0,104,146,52,637,80,25,0,80,535,213,18,252,134,72,168,91,136,0,54,113,197,151,60,117,46,45,0,114,30,275,191,0,231,108,117,415,0,89,0,233,741,94,0,102,143,1,108,39
0,1-5 Years,Liver,5620,0,89,125,42,571,70,22,0,54,478,185,10,217,121,63,156,77,130,0,40,86,172,138,49,105,43,41,0,86,29,227,165,0,201,87,101,328,0,82,0,208,614,66,0,83,125,0,106,28
0,1-5 Years,Heart,3201,0,46,78,26,350,44,10,0,30,235,120,0,115,66,35,97,41,72,0,20,49,91,75,34,57,23,28,0,54,13,129,83,0,107,54,57,173,0,51,0,135,391,33,0,50,78,0,45,6
0,1-5 Years,Pancreas,573,0,5,4,5,22,3,2,0,6,105,15,0,24,22,7,19,14,21,0,3,6,20,17,9,10,8,1,0,5,4,30,24,0,19,4,2,29,0,13,0,36,30,2,0,6,8,0,11,2
0,1-5 Years,Lung,310,0,4,3,3,25,2,3,0,6,19,11,0,19,10,1,9,3,6,0,6,6,8,16,2,10,4,1,0,6,4,19,9,0,13,2,2,29,0,2,0,9,24,1,0,7,3,0,3,0
0,1-5 Years,Intestine,832,0,11,13,5,49,9,6,0,2,102,29,0,37,20,14,29,17,23,0,3,11,33,26,12,21,11,3,0,11,0,34,37,0,29,10,5,37,0,19,0,49,74,2,0,11,12,0,12,4
0,6-10 Years,All Donors,4618,0,91,91,39,435,62,26,0,53,325,159,17,160,92,47,110,56,107,0,43,102,184,139,38,87,34,36,0,67,27,207,145,0,169,69,63,305,0,69,0,149,428,78,0,77,106,1,98,27
0,6-10 Years,Kidney,4510,0,89,88,38,421,61,25,0,50,313,157,16,158,90,47,108,53,104,0,42,101,180,139,38,84,33,35,0,63,26,199,144,0,166,66,60,300,0,69,0,148,422,78,0,77,101,1,95,25
0,6-10 Years,Liver,3845,0,77,78,31,372,49,20,0,45,280,127,12,132,77,36,88,44,96,0,31,80,146,125,31,77,25,32,0,51,25,163,128,0,134,52,54,252,0,59,0,121,367,68,0,66,84,0,88,22
0,6-10 Years,Heart,1811,0,32,27,17,185,24,6,0,19,133,86,0,50,41,15,43,19,46,0,13,34,69,58,18,42,9,22,0,23,11,85,55,0,57,26,27,106,0,35,0,66,173,29,0,30,34,0,40,6
0,6-10 Years,Pancreas,983,0,11,13,5,83,15,3,0,15,68,18,0,52,26,19,19,6,31,0,16,11,36,52,6,12,14,9,0,16,2,30,46,0,53,5,8,82,0,18,0,43,55,13,0,8,12,0,47,5
0,6-10 Years,Lung,518,0,7,5,4,53,3,4,0,8,44,24,0,22,12,6,15,3,15,0,5,12,30,22,4,15,2,3,0,5,2,20,24,0,18,4,2,36,0,7,0,15,38,1,0,10,6,0,12,0
0,6-10 Years,Intestine,338,0,7,8,3,18,4,4,0,5,45,15,0,7,9,2,7,2,10,0,1,7,17,16,5,8,6,8,0,3,2,11,12,0,7,4,4,18,0,5,0,17,21,5,0,8,1,0,3,3
0,11-17 Years,All Donors,17432,0,356,321,149,1698,365,106,0,223,1057,528,42,694,384,185,486,238,434,0,193,441,598,433,166,357,145,129,0,241,123,646,497,0,676,289,266,951,0,249,0,566,1638,295,0,294,444,4,406,119
0,11-17 Years,Kidney,17053,0,349,317,145,1652,356,101,0,215,1033,518,41,679,379,179,478,235,423,0,190,429,583,426,164,348,142,127,0,237,119,626,490,0,667,281,265,926,0,246,0,553,1597,286,0,288,436,4,405,118
0,11-17 Years,Liver,15238,0,289,291,130,1512,332,83,0,193,919,468,39,596,353,173,443,211,399,0,165,354,487,383,142,322,133,121,0,210,106,541,422,0,586,251,240,831,0,226,0,489,1428,248,0,262,399,3,364,94
0,11-17 Years,Heart,10064,0,192,173,92,1070,226,62,0,121,573,333,10,375,257,99,276,134,278,0,108,239,304,243,104,212,75,78,0,139,68,361,287,0,384,156,141,514,0,162,0,354,1020,153,0,183,237,3,216,52
